RecNum	DateTime	KAUST_LT_Tank1-S33.5A
1	07/26/19 06:00:00 PM	28.853
2	07/26/19 06:05:00 PM	28.853
3	07/26/19 06:10:00 PM	28.953
4	07/26/19 06:15:00 PM	28.953
5	07/26/19 06:20:00 PM	29.053
6	07/26/19 06:25:00 PM	29.152
7	07/26/19 06:30:00 PM	29.152
8	07/26/19 06:35:00 PM	29.152
9	07/26/19 06:40:00 PM	29.152
10	07/26/19 06:45:00 PM	29.252
11	07/26/19 06:50:00 PM	29.252
12	07/26/19 06:55:00 PM	29.352
13	07/26/19 07:00:00 PM	29.352
14	07/26/19 07:05:00 PM	29.352
15	07/26/19 07:10:00 PM	29.352
16	07/26/19 07:15:00 PM	29.352
17	07/26/19 07:20:00 PM	29.352
18	07/26/19 07:25:00 PM	29.452
19	07/26/19 07:30:00 PM	29.452
20	07/26/19 07:35:00 PM	29.452
21	07/26/19 07:40:00 PM	29.552
22	07/26/19 07:45:00 PM	29.552
23	07/26/19 07:50:00 PM	29.552
24	07/26/19 07:55:00 PM	29.552
25	07/26/19 08:00:00 PM	29.552
26	07/26/19 08:05:00 PM	29.552
27	07/26/19 08:10:00 PM	29.652
28	07/26/19 08:15:00 PM	29.652
29	07/26/19 08:20:00 PM	29.652
30	07/26/19 08:25:00 PM	29.652
31	07/26/19 08:30:00 PM	29.652
32	07/26/19 08:35:00 PM	29.652
33	07/26/19 08:40:00 PM	29.652
34	07/26/19 08:45:00 PM	29.652
35	07/26/19 08:50:00 PM	29.652
36	07/26/19 08:55:00 PM	29.652
37	07/26/19 09:00:00 PM	29.652
38	07/26/19 09:05:00 PM	29.652
39	07/26/19 09:10:00 PM	29.652
40	07/26/19 09:15:00 PM	29.652
41	07/26/19 09:20:00 PM	29.752
42	07/26/19 09:25:00 PM	29.752
43	07/26/19 09:30:00 PM	29.752
44	07/26/19 09:35:00 PM	29.752
45	07/26/19 09:40:00 PM	29.752
46	07/26/19 09:45:00 PM	29.752
47	07/26/19 09:50:00 PM	29.752
48	07/26/19 09:55:00 PM	29.752
49	07/26/19 10:00:00 PM	29.752
50	07/26/19 10:05:00 PM	29.752
51	07/26/19 10:10:00 PM	29.752
52	07/26/19 10:15:00 PM	29.752
53	07/26/19 10:20:00 PM	29.752
54	07/26/19 10:25:00 PM	29.752
55	07/26/19 10:30:00 PM	29.752
56	07/26/19 10:35:00 PM	29.752
57	07/26/19 10:40:00 PM	29.752
58	07/26/19 10:45:00 PM	29.752
59	07/26/19 10:50:00 PM	29.752
60	07/26/19 10:55:00 PM	29.752
61	07/26/19 11:00:00 PM	29.752
62	07/26/19 11:05:00 PM	29.853
63	07/26/19 11:10:00 PM	29.752
64	07/26/19 11:15:00 PM	29.752
65	07/26/19 11:20:00 PM	29.752
66	07/26/19 11:25:00 PM	29.752
67	07/26/19 11:30:00 PM	29.853
68	07/26/19 11:35:00 PM	29.853
69	07/26/19 11:40:00 PM	29.853
70	07/26/19 11:45:00 PM	29.752
71	07/26/19 11:50:00 PM	29.752
72	07/26/19 11:55:00 PM	29.752
73	07/27/19 12:00:00 AM	29.752
74	07/27/19 12:05:00 AM	29.752
75	07/27/19 12:10:00 AM	29.853
76	07/27/19 12:15:00 AM	29.853
77	07/27/19 12:20:00 AM	29.853
78	07/27/19 12:25:00 AM	29.853
79	07/27/19 12:30:00 AM	29.853
80	07/27/19 12:35:00 AM	29.752
81	07/27/19 12:40:00 AM	29.853
82	07/27/19 12:45:00 AM	29.853
83	07/27/19 12:50:00 AM	29.853
84	07/27/19 12:55:00 AM	29.853
