RecNum	DateTime	KAUST_LT_Tank14-Control_32B
1	07/26/19 06:00:00 PM	28.555
2	07/26/19 06:05:00 PM	28.655
3	07/26/19 06:10:00 PM	28.754
4	07/26/19 06:15:00 PM	28.853
5	07/26/19 06:20:00 PM	28.953
6	07/26/19 06:25:00 PM	29.053
7	07/26/19 06:30:00 PM	29.053
8	07/26/19 06:35:00 PM	29.152
9	07/26/19 06:40:00 PM	29.152
10	07/26/19 06:45:00 PM	29.252
11	07/26/19 06:50:00 PM	29.352
12	07/26/19 06:55:00 PM	29.352
13	07/26/19 07:00:00 PM	29.452
14	07/26/19 07:05:00 PM	29.452
15	07/26/19 07:10:00 PM	29.552
16	07/26/19 07:15:00 PM	29.552
17	07/26/19 07:20:00 PM	29.552
18	07/26/19 07:25:00 PM	29.652
19	07/26/19 07:30:00 PM	29.652
20	07/26/19 07:35:00 PM	29.752
21	07/26/19 07:40:00 PM	29.752
22	07/26/19 07:45:00 PM	29.752
23	07/26/19 07:50:00 PM	29.853
24	07/26/19 07:55:00 PM	29.853
25	07/26/19 08:00:00 PM	29.853
26	07/26/19 08:05:00 PM	29.853
27	07/26/19 08:10:00 PM	29.953
28	07/26/19 08:15:00 PM	29.953
29	07/26/19 08:20:00 PM	29.953
30	07/26/19 08:25:00 PM	29.953
31	07/26/19 08:30:00 PM	30.054
32	07/26/19 08:35:00 PM	30.054
33	07/26/19 08:40:00 PM	30.054
34	07/26/19 08:45:00 PM	30.054
35	07/26/19 08:50:00 PM	30.054
36	07/26/19 08:55:00 PM	30.054
37	07/26/19 09:00:00 PM	30.154
38	07/26/19 09:05:00 PM	30.154
39	07/26/19 09:10:00 PM	30.154
40	07/26/19 09:15:00 PM	30.154
41	07/26/19 09:20:00 PM	30.154
42	07/26/19 09:25:00 PM	30.255
43	07/26/19 09:30:00 PM	30.154
44	07/26/19 09:35:00 PM	30.154
45	07/26/19 09:40:00 PM	30.154
46	07/26/19 09:45:00 PM	30.255
47	07/26/19 09:50:00 PM	30.255
48	07/26/19 09:55:00 PM	30.255
49	07/26/19 10:00:00 PM	30.255
50	07/26/19 10:05:00 PM	30.255
51	07/26/19 10:10:00 PM	30.255
52	07/26/19 10:15:00 PM	30.255
53	07/26/19 10:20:00 PM	30.255
54	07/26/19 10:25:00 PM	30.255
55	07/26/19 10:30:00 PM	30.356
56	07/26/19 10:35:00 PM	30.356
57	07/26/19 10:40:00 PM	30.356
58	07/26/19 10:45:00 PM	30.356
59	07/26/19 10:50:00 PM	30.356
60	07/26/19 10:55:00 PM	30.356
61	07/26/19 11:00:00 PM	30.356
62	07/26/19 11:05:00 PM	30.356
63	07/26/19 11:10:00 PM	30.356
64	07/26/19 11:15:00 PM	30.356
65	07/26/19 11:20:00 PM	30.356
66	07/26/19 11:25:00 PM	30.356
67	07/26/19 11:30:00 PM	30.356
68	07/26/19 11:35:00 PM	30.356
69	07/26/19 11:40:00 PM	30.356
70	07/26/19 11:45:00 PM	30.356
71	07/26/19 11:50:00 PM	30.356
72	07/26/19 11:55:00 PM	30.356
73	07/27/19 12:00:00 AM	30.356
74	07/27/19 12:05:00 AM	30.356
75	07/27/19 12:10:00 AM	30.356
76	07/27/19 12:15:00 AM	30.457
77	07/27/19 12:20:00 AM	30.457
78	07/27/19 12:25:00 AM	30.457
79	07/27/19 12:30:00 AM	30.457
80	07/27/19 12:35:00 AM	30.356
81	07/27/19 12:40:00 AM	30.356
82	07/27/19 12:45:00 AM	30.457
83	07/27/19 12:50:00 AM	30.457
84	07/27/19 12:55:00 AM	30.457
85	07/27/19 01:00:00 AM	30.457
86	07/27/19 01:05:00 AM	30.457
87	07/27/19 01:10:00 AM	30.457
88	07/27/19 01:15:00 AM	30.356
89	07/27/19 01:20:00 AM	30.457
90	07/27/19 01:25:00 AM	30.356
91	07/27/19 01:30:00 AM	30.457
92	07/27/19 01:35:00 AM	30.457
93	07/27/19 01:40:00 AM	30.457
94	07/27/19 01:45:00 AM	30.457
95	07/27/19 01:50:00 AM	30.457
96	07/27/19 01:55:00 AM	30.457
97	07/27/19 02:00:00 AM	30.457
98	07/27/19 02:05:00 AM	30.457
99	07/27/19 02:10:00 AM	30.457
100	07/27/19 02:15:00 AM	30.457
101	07/27/19 02:20:00 AM	30.457
102	07/27/19 02:25:00 AM	30.457
103	07/27/19 02:30:00 AM	30.457
104	07/27/19 02:35:00 AM	30.457
105	07/27/19 02:40:00 AM	30.457
106	07/27/19 02:45:00 AM	30.457
107	07/27/19 02:50:00 AM	30.457
108	07/27/19 02:55:00 AM	30.457
109	07/27/19 03:00:00 AM	30.457
110	07/27/19 03:05:00 AM	30.457
111	07/27/19 03:10:00 AM	30.457
112	07/27/19 03:15:00 AM	30.457
113	07/27/19 03:20:00 AM	30.457
114	07/27/19 03:25:00 AM	30.457
115	07/27/19 03:30:00 AM	30.457
116	07/27/19 03:35:00 AM	30.457
117	07/27/19 03:40:00 AM	30.457
118	07/27/19 03:45:00 AM	30.457
119	07/27/19 03:50:00 AM	30.457
120	07/27/19 03:55:00 AM	30.457
121	07/27/19 04:00:00 AM	30.457
122	07/27/19 04:05:00 AM	30.457
123	07/27/19 04:10:00 AM	30.457
124	07/27/19 04:15:00 AM	30.457
125	07/27/19 04:20:00 AM	30.457
126	07/27/19 04:25:00 AM	30.457
127	07/27/19 04:30:00 AM	30.457
128	07/27/19 04:35:00 AM	30.457
129	07/27/19 04:40:00 AM	30.457
130	07/27/19 04:45:00 AM	30.457
131	07/27/19 04:50:00 AM	30.457
132	07/27/19 04:55:00 AM	30.457
133	07/27/19 05:00:00 AM	30.457
134	07/27/19 05:05:00 AM	30.457
135	07/27/19 05:10:00 AM	30.457
136	07/27/19 05:15:00 AM	30.457
137	07/27/19 05:20:00 AM	30.457
138	07/27/19 05:25:00 AM	30.457
139	07/27/19 05:30:00 AM	30.457
140	07/27/19 05:35:00 AM	30.457
141	07/27/19 05:40:00 AM	30.457
142	07/27/19 05:45:00 AM	30.457
143	07/27/19 05:50:00 AM	30.457
144	07/27/19 05:55:00 AM	30.457
145	07/27/19 06:00:00 AM	30.457
146	07/27/19 06:05:00 AM	30.457
147	07/27/19 06:10:00 AM	30.457
148	07/27/19 06:15:00 AM	30.457
149	07/27/19 06:20:00 AM	30.457
150	07/27/19 06:25:00 AM	30.457
151	07/27/19 06:30:00 AM	30.457
152	07/27/19 06:35:00 AM	30.457
153	07/27/19 06:40:00 AM	30.457
154	07/27/19 06:45:00 AM	30.457
155	07/27/19 06:50:00 AM	30.457
156	07/27/19 06:55:00 AM	30.457
157	07/27/19 07:00:00 AM	30.457
158	07/27/19 07:05:00 AM	30.457
159	07/27/19 07:10:00 AM	30.356
160	07/27/19 07:15:00 AM	30.457
161	07/27/19 07:20:00 AM	30.356
