RecNum	DateTime	KAUST_LT_Tank3-S35A
1	07/26/19 06:00:00 PM	28.953
2	07/26/19 06:05:00 PM	29.053
3	07/26/19 06:10:00 PM	29.053
4	07/26/19 06:15:00 PM	29.152
5	07/26/19 06:20:00 PM	29.252
6	07/26/19 06:25:00 PM	29.252
7	07/26/19 06:30:00 PM	29.352
8	07/26/19 06:35:00 PM	29.352
9	07/26/19 06:40:00 PM	29.452
10	07/26/19 06:45:00 PM	29.452
11	07/26/19 06:50:00 PM	29.552
12	07/26/19 06:55:00 PM	29.552
13	07/26/19 07:00:00 PM	29.652
14	07/26/19 07:05:00 PM	29.652
15	07/26/19 07:10:00 PM	29.752
16	07/26/19 07:15:00 PM	29.752
17	07/26/19 07:20:00 PM	29.752
18	07/26/19 07:25:00 PM	29.853
19	07/26/19 07:30:00 PM	29.853
20	07/26/19 07:35:00 PM	29.853
21	07/26/19 07:40:00 PM	29.953
22	07/26/19 07:45:00 PM	29.953
23	07/26/19 07:50:00 PM	29.953
24	07/26/19 07:55:00 PM	29.953
25	07/26/19 08:00:00 PM	30.054
26	07/26/19 08:05:00 PM	30.054
27	07/26/19 08:10:00 PM	30.054
28	07/26/19 08:15:00 PM	30.154
29	07/26/19 08:20:00 PM	30.154
30	07/26/19 08:25:00 PM	30.154
31	07/26/19 08:30:00 PM	30.255
32	07/26/19 08:35:00 PM	30.255
33	07/26/19 08:40:00 PM	30.255
34	07/26/19 08:45:00 PM	30.255
35	07/26/19 08:50:00 PM	30.255
36	07/26/19 08:55:00 PM	30.356
37	07/26/19 09:00:00 PM	30.356
38	07/26/19 09:05:00 PM	30.356
39	07/26/19 09:10:00 PM	30.356
40	07/26/19 09:15:00 PM	30.356
41	07/26/19 09:20:00 PM	30.457
42	07/26/19 09:25:00 PM	30.457
43	07/26/19 09:30:00 PM	30.457
44	07/26/19 09:35:00 PM	30.457
45	07/26/19 09:40:00 PM	30.457
46	07/26/19 09:45:00 PM	30.457
47	07/26/19 09:50:00 PM	30.457
48	07/26/19 09:55:00 PM	30.457
49	07/26/19 10:00:00 PM	30.558
50	07/26/19 10:05:00 PM	30.558
51	07/26/19 10:10:00 PM	30.558
52	07/26/19 10:15:00 PM	30.558
53	07/26/19 10:20:00 PM	30.558
54	07/26/19 10:25:00 PM	30.659
55	07/26/19 10:30:00 PM	30.659
56	07/26/19 10:35:00 PM	30.659
57	07/26/19 10:40:00 PM	30.659
58	07/26/19 10:45:00 PM	30.659
59	07/26/19 10:50:00 PM	30.659
60	07/26/19 10:55:00 PM	30.659
61	07/26/19 11:00:00 PM	30.659
62	07/26/19 11:05:00 PM	30.760
63	07/26/19 11:10:00 PM	30.659
64	07/26/19 11:15:00 PM	30.659
65	07/26/19 11:20:00 PM	30.760
66	07/26/19 11:25:00 PM	30.760
67	07/26/19 11:30:00 PM	30.760
68	07/26/19 11:35:00 PM	30.760
69	07/26/19 11:40:00 PM	30.760
70	07/26/19 11:45:00 PM	30.760
71	07/26/19 11:50:00 PM	30.760
72	07/26/19 11:55:00 PM	30.760
73	07/27/19 12:00:00 AM	30.760
74	07/27/19 12:05:00 AM	30.760
75	07/27/19 12:10:00 AM	30.760
76	07/27/19 12:15:00 AM	30.760
77	07/27/19 12:20:00 AM	30.862
78	07/27/19 12:25:00 AM	30.862
79	07/27/19 12:30:00 AM	30.862
80	07/27/19 12:35:00 AM	30.760
81	07/27/19 12:40:00 AM	30.862
82	07/27/19 12:45:00 AM	30.862
83	07/27/19 12:50:00 AM	30.862
84	07/27/19 12:55:00 AM	30.862
85	07/27/19 01:00:00 AM	30.862
86	07/27/19 01:05:00 AM	30.862
87	07/27/19 01:10:00 AM	30.862
88	07/27/19 01:15:00 AM	30.862
89	07/27/19 01:20:00 AM	30.862
90	07/27/19 01:25:00 AM	30.862
91	07/27/19 01:30:00 AM	30.862
92	07/27/19 01:35:00 AM	30.862
93	07/27/19 01:40:00 AM	30.862
94	07/27/19 01:45:00 AM	30.862
95	07/27/19 01:50:00 AM	30.963
96	07/27/19 01:55:00 AM	30.862
97	07/27/19 02:00:00 AM	30.862
98	07/27/19 02:05:00 AM	30.862
99	07/27/19 02:10:00 AM	30.862
100	07/27/19 02:15:00 AM	30.862
101	07/27/19 02:20:00 AM	30.963
102	07/27/19 02:25:00 AM	30.963
103	07/27/19 02:30:00 AM	30.963
104	07/27/19 02:35:00 AM	30.963
105	07/27/19 02:40:00 AM	30.963
106	07/27/19 02:45:00 AM	30.963
107	07/27/19 02:50:00 AM	30.963
108	07/27/19 02:55:00 AM	30.963
109	07/27/19 03:00:00 AM	30.963
110	07/27/19 03:05:00 AM	30.963
111	07/27/19 03:10:00 AM	30.963
112	07/27/19 03:15:00 AM	30.963
113	07/27/19 03:20:00 AM	30.963
114	07/27/19 03:25:00 AM	30.963
115	07/27/19 03:30:00 AM	30.963
116	07/27/19 03:35:00 AM	30.963
117	07/27/19 03:40:00 AM	30.963
118	07/27/19 03:45:00 AM	30.963
119	07/27/19 03:50:00 AM	30.963
120	07/27/19 03:55:00 AM	30.963
121	07/27/19 04:00:00 AM	30.963
122	07/27/19 04:05:00 AM	30.963
123	07/27/19 04:10:00 AM	30.963
124	07/27/19 04:15:00 AM	30.963
125	07/27/19 04:20:00 AM	30.963
126	07/27/19 04:25:00 AM	30.963
127	07/27/19 04:30:00 AM	30.963
128	07/27/19 04:35:00 AM	30.963
129	07/27/19 04:40:00 AM	30.963
130	07/27/19 04:45:00 AM	30.963
131	07/27/19 04:50:00 AM	30.963
132	07/27/19 04:55:00 AM	30.963
133	07/27/19 05:00:00 AM	30.963
134	07/27/19 05:05:00 AM	31.064
135	07/27/19 05:10:00 AM	31.064
136	07/27/19 05:15:00 AM	30.963
137	07/27/19 05:20:00 AM	30.963
138	07/27/19 05:25:00 AM	30.963
139	07/27/19 05:30:00 AM	30.963
140	07/27/19 05:35:00 AM	30.963
141	07/27/19 05:40:00 AM	30.963
142	07/27/19 05:45:00 AM	30.963
143	07/27/19 05:50:00 AM	30.963
144	07/27/19 05:55:00 AM	31.064
145	07/27/19 06:00:00 AM	30.963
146	07/27/19 06:05:00 AM	30.963
147	07/27/19 06:10:00 AM	30.963
148	07/27/19 06:15:00 AM	30.963
149	07/27/19 06:20:00 AM	30.963
150	07/27/19 06:25:00 AM	30.963
151	07/27/19 06:30:00 AM	30.963
152	07/27/19 06:35:00 AM	30.963
153	07/27/19 06:40:00 AM	30.963
154	07/27/19 06:45:00 AM	30.963
155	07/27/19 06:50:00 AM	30.963
156	07/27/19 06:55:00 AM	31.064
157	07/27/19 07:00:00 AM	30.963
158	07/27/19 07:05:00 AM	30.963
159	07/27/19 07:10:00 AM	30.963
160	07/27/19 07:15:00 AM	30.963
161	07/27/19 07:20:00 AM	30.963
162	07/27/19 07:25:00 AM	30.963
