RecNum	DateTime	KAUST_LT_Tank6-S36.5B
1	07/26/19 06:00:00 PM	28.853
2	07/26/19 06:05:00 PM	28.953
3	07/26/19 06:10:00 PM	28.953
4	07/26/19 06:15:00 PM	29.053
5	07/26/19 06:20:00 PM	29.053
6	07/26/19 06:25:00 PM	29.152
7	07/26/19 06:30:00 PM	29.152
8	07/26/19 06:35:00 PM	29.152
9	07/26/19 06:40:00 PM	29.152
10	07/26/19 06:45:00 PM	29.252
11	07/26/19 06:50:00 PM	29.252
12	07/26/19 06:55:00 PM	29.252
13	07/26/19 07:00:00 PM	29.352
14	07/26/19 07:05:00 PM	29.352
15	07/26/19 07:10:00 PM	29.352
16	07/26/19 07:15:00 PM	29.352
17	07/26/19 07:20:00 PM	29.352
18	07/26/19 07:25:00 PM	29.352
19	07/26/19 07:30:00 PM	29.352
20	07/26/19 07:35:00 PM	29.452
21	07/26/19 07:40:00 PM	29.452
22	07/26/19 07:45:00 PM	29.452
23	07/26/19 07:50:00 PM	29.452
24	07/26/19 07:55:00 PM	29.452
25	07/26/19 08:00:00 PM	29.452
26	07/26/19 08:05:00 PM	29.452
27	07/26/19 08:10:00 PM	29.452
28	07/26/19 08:15:00 PM	29.552
29	07/26/19 08:20:00 PM	29.552
30	07/26/19 08:25:00 PM	29.552
31	07/26/19 08:30:00 PM	29.552
32	07/26/19 08:35:00 PM	29.552
33	07/26/19 08:40:00 PM	29.452
34	07/26/19 08:45:00 PM	29.552
35	07/26/19 08:50:00 PM	29.552
36	07/26/19 08:55:00 PM	29.552
37	07/26/19 09:00:00 PM	29.552
38	07/26/19 09:05:00 PM	29.552
39	07/26/19 09:10:00 PM	29.552
40	07/26/19 09:15:00 PM	29.552
41	07/26/19 09:20:00 PM	29.552
42	07/26/19 09:25:00 PM	29.552
43	07/26/19 09:30:00 PM	29.552
44	07/26/19 09:35:00 PM	29.552
45	07/26/19 09:40:00 PM	29.552
46	07/26/19 09:45:00 PM	29.552
47	07/26/19 09:50:00 PM	29.552
48	07/26/19 09:55:00 PM	29.552
49	07/26/19 10:00:00 PM	29.552
50	07/26/19 10:05:00 PM	29.552
51	07/26/19 10:10:00 PM	29.552
52	07/26/19 10:15:00 PM	29.652
53	07/26/19 10:20:00 PM	29.652
54	07/26/19 10:25:00 PM	29.552
55	07/26/19 10:30:00 PM	29.652
56	07/26/19 10:35:00 PM	29.652
57	07/26/19 10:40:00 PM	29.652
58	07/26/19 10:45:00 PM	29.552
59	07/26/19 10:50:00 PM	29.552
60	07/26/19 10:55:00 PM	29.552
61	07/26/19 11:00:00 PM	29.652
62	07/26/19 11:05:00 PM	29.652
63	07/26/19 11:10:00 PM	29.652
64	07/26/19 11:15:00 PM	29.552
65	07/26/19 11:20:00 PM	29.552
66	07/26/19 11:25:00 PM	29.652
67	07/26/19 11:30:00 PM	29.652
68	07/26/19 11:35:00 PM	29.652
69	07/26/19 11:40:00 PM	29.652
70	07/26/19 11:45:00 PM	29.652
71	07/26/19 11:50:00 PM	29.552
72	07/26/19 11:55:00 PM	29.552
73	07/27/19 12:00:00 AM	29.552
74	07/27/19 12:05:00 AM	29.552
75	07/27/19 12:10:00 AM	29.652
76	07/27/19 12:15:00 AM	29.652
77	07/27/19 12:20:00 AM	29.652
78	07/27/19 12:25:00 AM	29.652
79	07/27/19 12:30:00 AM	29.652
80	07/27/19 12:35:00 AM	29.652
81	07/27/19 12:40:00 AM	29.552
82	07/27/19 12:45:00 AM	29.652
83	07/27/19 12:50:00 AM	29.652
84	07/27/19 12:55:00 AM	29.652
85	07/27/19 01:00:00 AM	29.652
86	07/27/19 01:05:00 AM	29.652
87	07/27/19 01:10:00 AM	29.652
88	07/27/19 01:15:00 AM	29.652
89	07/27/19 01:20:00 AM	29.652
90	07/27/19 01:25:00 AM	29.652
91	07/27/19 01:30:00 AM	29.652
92	07/27/19 01:35:00 AM	29.652
93	07/27/19 01:40:00 AM	29.652
94	07/27/19 01:45:00 AM	29.652
95	07/27/19 01:50:00 AM	29.652
96	07/27/19 01:55:00 AM	29.652
97	07/27/19 02:00:00 AM	29.652
98	07/27/19 02:05:00 AM	29.652
99	07/27/19 02:10:00 AM	29.652
100	07/27/19 02:15:00 AM	29.652
101	07/27/19 02:20:00 AM	29.652
102	07/27/19 02:25:00 AM	29.652
103	07/27/19 02:30:00 AM	29.652
104	07/27/19 02:35:00 AM	29.652
105	07/27/19 02:40:00 AM	29.652
