RecNum	DateTime	KAUST_LT_Tank9-F35A
1	07/26/19 06:00:00 PM	29.252
2	07/26/19 06:05:00 PM	29.252
3	07/26/19 06:10:00 PM	29.152
4	07/26/19 06:15:00 PM	29.152
5	07/26/19 06:20:00 PM	29.152
6	07/26/19 06:25:00 PM	29.252
7	07/26/19 06:30:00 PM	29.152
8	07/26/19 06:35:00 PM	29.053
9	07/26/19 06:40:00 PM	29.053
10	07/26/19 06:45:00 PM	29.152
11	07/26/19 06:50:00 PM	29.152
12	07/26/19 06:55:00 PM	29.152
13	07/26/19 07:00:00 PM	29.152
14	07/26/19 07:05:00 PM	29.152
15	07/26/19 07:10:00 PM	29.053
16	07/26/19 07:15:00 PM	28.953
17	07/26/19 07:20:00 PM	28.953
18	07/26/19 07:25:00 PM	28.953
19	07/26/19 07:30:00 PM	29.053
20	07/26/19 07:35:00 PM	29.053
21	07/26/19 07:40:00 PM	29.053
22	07/26/19 07:45:00 PM	29.053
23	07/26/19 07:50:00 PM	29.053
24	07/26/19 07:55:00 PM	28.953
25	07/26/19 08:00:00 PM	28.953
26	07/26/19 08:05:00 PM	28.953
27	07/26/19 08:10:00 PM	29.053
28	07/26/19 08:15:00 PM	29.152
29	07/26/19 08:20:00 PM	29.053
30	07/26/19 08:25:00 PM	29.053
31	07/26/19 08:30:00 PM	29.053
32	07/26/19 08:35:00 PM	29.053
33	07/26/19 08:40:00 PM	28.953
34	07/26/19 08:45:00 PM	28.953
35	07/26/19 08:50:00 PM	28.953
36	07/26/19 08:55:00 PM	29.053
37	07/26/19 09:00:00 PM	29.053
38	07/26/19 09:05:00 PM	29.053
39	07/26/19 09:10:00 PM	29.053
40	07/26/19 09:15:00 PM	28.953
41	07/26/19 09:20:00 PM	28.953
42	07/26/19 09:25:00 PM	29.053
43	07/26/19 09:30:00 PM	29.053
44	07/26/19 09:35:00 PM	28.953
45	07/26/19 09:40:00 PM	28.953
46	07/26/19 09:45:00 PM	29.053
47	07/26/19 09:50:00 PM	29.053
48	07/26/19 09:55:00 PM	28.953
49	07/26/19 10:00:00 PM	28.953
50	07/26/19 10:05:00 PM	28.953
51	07/26/19 10:10:00 PM	29.053
52	07/26/19 10:15:00 PM	29.053
53	07/26/19 10:20:00 PM	29.053
54	07/26/19 10:25:00 PM	29.053
55	07/26/19 10:30:00 PM	29.053
56	07/26/19 10:35:00 PM	29.152
57	07/26/19 10:40:00 PM	29.053
58	07/26/19 10:45:00 PM	29.053
59	07/26/19 10:50:00 PM	28.953
