Species,Date,Day,Temp,Ramp,Tank,Site,Colony,Rep,Fo,Fm,FvFm,Heatload32,Heatload33,Heatload34,AbsTemp,ElapsedT
Acropora,7292019,1,32,Control,13,Exposed,1,A,189,521,0.637,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Exposed,2,A,167,448,0.627,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Exposed,3,A,190,569,0.666,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Exposed,4,A,170,486,0.65,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Exposed,5,A,160,431,0.629,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Protected,1,A,196,523,0.625,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Protected,2,A,287,863,0.667,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Protected,3,A,131,350,0.626,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Protected,4,A,213,588,0.638,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,13,Protected,5,A,171,492,0.652,0.734227273,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Exposed,1,B,148,453,0.673,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Exposed,2,B,203,592,0.657,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Exposed,3,B,209,592,0.647,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Exposed,4,B,151,430,0.649,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Exposed,5,B,262,661,0.604,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Protected,1,B,178,533,0.666,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Protected,2,B,256,728,0.648,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Protected,3,B,250,737,0.661,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Protected,4,B,242,736,0.671,0.760583333,0,0,32.188,3
Acropora,7292019,1,32,Control,14,Protected,5,B,140,396,0.646,0.760583333,0,0,32.188,3
Acropora,7292019,1,35,Fast,9,Exposed,1,A,301,866,0.652,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Exposed,2,A,442,1263,0.65,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Exposed,3,A,322,951,0.661,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Exposed,4,A,325,976,0.667,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Exposed,5,A,273,790,0.654,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Protected,1,A,457,1293,0.647,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Protected,2,A,477,1168,0.592,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Protected,3,A,263,686,0.617,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Protected,4,A,165,441,0.626,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,9,Protected,5,A,239,726,0.671,2.500598485,0,0,32.704,3
Acropora,7292019,1,35,Fast,10,Exposed,1,B,549,1432,0.617,2.668083333,0,0,32.76408333,3
Acropora,7292019,1,35,Fast,10,Exposed,2,B,453,1368,0.669,2.668083333,0,0,32.76408333,3
Acropora,7292019,1,35,Fast,10,Exposed,3,B,308,855,0.64,2.668083333,0,0,32.76408333,3
Acropora,7292019,1,35,Fast,10,Exposed,4,B,212,612,0.654,2.668083333,0,0,32.76408333,3
Acropora,7292019,1,35,Fast,10,Exposed,5,B,282,730,0.614,2.668083333,0,0,32.76408333,3
