Temp,Species,Colony,Population,Genotype,Replicate,Tank,Fo,Fm,FvFm,AbsTemp,heat32,load32,heat33,load33,heat34,load34,heat35,load35
32,Porites,1,Exposed,Exp1,A,32A,649,1486,0.563,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,2,Exposed,Exp2,A,32A,745,1710,0.564,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,3,Exposed,Exp3,A,32A,594,1447,0.589,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,4,Exposed,Exp4,A,32A,318,732,0.566,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,5,Exposed,Exp5,A,32A,552,1372,0.598,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,1,Protected,Pro1,A,32A,486,1301,0.626,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,2,Protected,Pro2,A,32A,874,2109,0.586,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,3,Protected,Pro3,A,32A,422,1029,0.59,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,4,Protected,Pro4,A,32A,381,770,0.505,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,5,Protected,Pro5,A,32A,548,1302,0.579,32.03272727,0.032727273,21.84568687,0,0,0,0,0,0
32,Porites,1,Exposed,Exp1,B,32B,414,1029,0.598,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,2,Exposed,Exp2,B,32B,833,2116,0.606,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,3,Exposed,Exp3,B,32B,678,1729,0.608,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,4,Exposed,Exp4,B,32B,694,1712,0.595,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,5,Exposed,Exp5,B,32B,296,702,0.578,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,1,Protected,Pro1,B,32B,736,2030,0.637,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,2,Protected,Pro2,B,32B,641,1564,0.59,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,3,Protected,Pro3,B,32B,599,1377,0.565,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,4,Protected,Pro4,B,32B,342,823,0.584,32.06,0.06,14.23448918,0,0,0,0,0,0
32,Porites,5,Protected,Pro5,B,32B,398,934,0.574,32.06,0.06,14.23448918,0,0,0,0,0,0
35,Porites,1,Exposed,Exp1,A,35A,486,1289,0.623,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,2,Exposed,Exp2,A,35A,660,1596,0.586,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,3,Exposed,Exp3,A,35A,704,1642,0.571,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,4,Exposed,Exp4,A,35A,565,1436,0.607,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,5,Exposed,Exp5,A,35A,384,875,0.561,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,1,Protected,Pro1,A,35A,318,641,0.504,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,2,Protected,Pro2,A,35A,616,1462,0.579,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,3,Protected,Pro3,A,35A,684,1679,0.593,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,4,Protected,Pro4,A,35A,286,553,0.483,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,5,Protected,Pro5,A,35A,420,965,0.565,35.00545455,3.005454545,810.4373247,2.005454545,481.9967229,1.005454545,213.6575411,0.005454545,5.702753247
35,Porites,1,Exposed,Exp1,B,35B,649,1642,0.605,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,2,Exposed,Exp2,B,35B,619,1485,0.583,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,3,Exposed,Exp3,B,35B,716,1821,0.607,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,4,Exposed,Exp4,B,35B,458,964,0.525,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,5,Exposed,Exp5,B,35B,525,1320,0.602,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,1,Protected,Pro1,B,35B,344,897,0.616,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,2,Protected,Pro2,B,35B,638,1575,0.595,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,3,Protected,Pro3,B,35B,467,1031,0.547,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,4,Protected,Pro4,B,35B,912,1998,0.544,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
35,Porites,5,Protected,Pro5,B,35B,363,899,0.596,34.97272727,2.972727273,803.619974,1.972727273,475.7697316,0.972727273,208.5098528,0,3.535818182
36.5,Porites,1,Exposed,Exp1,A,36.5A,374,530,0.294,36.40181818,4.401818182,1178.501366,3.401818182,863.2886385,2.401818182,564.8684004,1.401818182,306.6963788
