PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,29466,11,37,51,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,35483,11,37,57,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,40968,11,38,2,32.01,32.31,32.31,CHL,32.01,32.19,32.19,HTR,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,46456,11,38,8,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,51939,11,38,13,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,57422,11,38,19,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,62916,11,38,25,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,69125,11,38,31,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,74608,11,38,36,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,80091,11,38,42,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,85579,11,38,47,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,91064,11,38,53,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.38,32.38,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,96550,11,38,58,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,102039,11,39,4,32.01,32.25,32.25,HTR,32.01,32.13,32.13,HTR,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,107520,11,39,9,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,113003,11,39,15,32.01,32.31,32.31,CHL,32.01,32.19,32.19,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,118496,11,39,20,32.01,32.25,32.25,HTR,32.01,32.13,32.13,HTR,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,123978,11,39,26,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,130188,11,39,32,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,135672,11,39,37,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,141164,11,39,43,32.01,32.31,32.31,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,146654,11,39,48,32.01,32.25,32.25,HTR,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,152137,11,39,54,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,157629,11,39,59,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,163116,11,40,5,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,168599,11,40,10,32.01,32.31,32.31,CHL,32.01,32.13,32.13,CHL,32.01,32.38,32.38,CHL,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,174092,11,40,16,32.01,32.25,32.25,HTR,32.01,32.13,32.13,CHL,32.01,32.31,32.31,HTR,32.01,32.31,32.31,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,179573,11,40,21,32.01,32.25,32.25,CHL,32.01,32.13,32.13,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,185056,11,40,27,32.01,32.25,32.25,CHL,32.01,32.06,32.06,HTR,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,191264,11,40,33,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,196756,11,40,38,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,202241,11,40,44,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,207725,11,40,49,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,213217,11,40,55,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,218703,11,41,0,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,224186,11,41,6,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.31,32.31,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,229681,11,41,11,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.25,32.25,HTR,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,235163,11,41,17,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.25,32.25,CHL,32.01,32.19,32.19,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,240647,11,41,22,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.25,32.25,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,246130,11,41,29,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,252345,11,41,34,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,257826,11,41,40,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,263309,11,41,45,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,268798,11,41,51,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,274280,11,41,56,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,279762,11,42,2,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,285251,11,42,7,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,290733,11,42,13,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,296214,11,42,18,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,301700,11,42,24,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.13,32.13,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,307188,11,42,30,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.25,32.25,CHL,32.01,32.19,32.19,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,313396,11,42,35,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.19,32.19,HTR,32.01,32.13,32.13,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,318876,11,42,41,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,324507,11,42,46,32.01,32.25,32.25,CHL,32.01,32.00,32.00,HTR,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,329990,11,42,52,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,335473,11,42,57,32.01,32.19,32.19,HTR,32.01,32.00,32.00,HTR,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,340956,11,43,3,32.01,32.25,32.25,CHL,32.01,32.06,32.06,CHL,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,346447,11,43,8,32.01,32.19,32.19,HTR,32.01,32.06,32.06,CHL,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,351929,11,43,14,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,357413,11,43,19,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,362905,11,43,25,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.19,32.19,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,368392,11,43,31,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,HTR,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,374631,11,43,37,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.13,32.13,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,380123,11,43,42,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,385606,11,43,48,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,391090,11,43,53,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,396574,11,43,59,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,402066,11,44,4,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,407548,11,44,10,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,413038,11,44,15,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,418530,11,44,21,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,424014,11,44,26,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,429498,11,44,32,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,435720,11,44,38,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,441203,11,44,43,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,HTR,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,446685,11,44,49,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,452166,11,44,54,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,457655,11,45,0,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,463134,11,45,5,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,468615,11,45,11,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,474103,11,45,16,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,479584,11,45,22,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,485064,11,45,27,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,490554,11,45,34,32.01,32.19,32.19,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,496760,11,45,39,32.01,32.19,32.19,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,502240,11,45,44,32.01,32.13,32.13,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,507721,11,45,50,32.01,32.19,32.19,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,513208,11,45,55,32.01,32.13,32.13,HTR,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,518684,11,46,1,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,524167,11,46,6,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,529653,11,46,12,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,535133,11,46,17,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,540612,11,46,23,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,546101,11,46,28,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,551580,11,46,35,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,557785,11,46,40,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,563264,11,46,46,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,568751,11,46,51,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,574232,11,46,57,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,579710,11,47,2,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,585198,11,47,8,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,590679,11,47,13,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,31.94,31.94,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,596330,11,47,19,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,601815,11,47,24,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,607295,11,47,30,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,612775,11,47,36,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,619123,11,47,42,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,624604,11,47,47,32.01,32.13,32.13,CHL,32.01,32.13,32.13,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,630085,11,47,53,32.01,32.13,32.13,CHL,32.01,32.06,32.06,HTR,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,635576,11,47,58,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,641056,11,48,4,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.00,32.00,HTR,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,646537,11,48,9,32.01,32.13,32.13,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,652027,11,48,15,32.01,32.13,32.13,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,657512,11,48,20,32.01,32.13,32.13,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,
2019-07-30_TahalaAcroExpProt_1-4,2019_August_4,662995,11,48,26,32.01,32.13,32.13,CHL,32.01,32.13,32.13,CHL,32.01,32.06,32.06,CHL,32.01,32.06,32.06,CHL,
