Species,Date,Day,Temp,Ramp,Tank,Site,Population,Colony,Rep,Fo,Fm,FvFm,AbsTemp,ElapsedT,Heatload32,Heatload33,Heatload34
Porites,7292019,1,32,Control_S,13,Exposed,Por_Exp,1,A,401,966,0.585,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Exposed,Por_Exp,2,A,412,1106,0.627,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Exposed,Por_Exp,3,A,215,613,0.649,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Exposed,Por_Exp,4,A,265,672,0.606,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Exposed,Por_Exp,5,A,260,712,0.635,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Protected,Por_Pro,6,A,294,927,0.683,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Protected,Por_Pro,7,A,344,932,0.631,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Protected,Por_Pro,8,A,403,1077,0.626,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Protected,Por_Pro,9,A,337,839,0.598,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,13,Protected,Por_Pro,10,A,406,1131,0.641,32.188,3,0.734227273,0,0
Porites,7292019,1,32,Control_S,14,Exposed,Por_Exp,1,B,426,1152,0.63,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Exposed,Por_Exp,2,B,390,974,0.6,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Exposed,Por_Exp,3,B,385,1046,0.632,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Exposed,Por_Exp,4,B,367,790,0.535,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Exposed,Por_Exp,5,B,316,795,0.603,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Protected,Por_Pro,6,B,420,1211,0.653,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Protected,Por_Pro,7,B,314,722,0.565,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Protected,Por_Pro,8,B,361,950,0.62,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Protected,Por_Pro,9,B,355,926,0.617,32.188,3,0.760583333,0,0
Porites,7292019,1,32,Control_S,14,Protected,Por_Pro,10,B,294,831,0.646,32.188,3,0.760583333,0,0
Porites,7292019,1,35,Fast,9,Exposed,Por_Exp,1,A,337,904,0.627,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Exposed,Por_Exp,2,A,331,877,0.623,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Exposed,Por_Exp,3,A,420,1100,0.618,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Exposed,Por_Exp,4,A,480,1251,0.616,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Exposed,Por_Exp,5,A,346,1014,0.659,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Protected,Por_Pro,6,A,378,1138,0.668,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Protected,Por_Pro,7,A,339,899,0.623,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Protected,Por_Pro,8,A,520,1455,0.643,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Protected,Por_Pro,9,A,577,1579,0.635,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,9,Protected,Por_Pro,10,A,304,819,0.629,32.704,3,2.500598485,0,0
Porites,7292019,1,35,Fast,10,Exposed,Por_Exp,1,B,382,981,0.611,32.76408333,3,2.668083333,0,0
Porites,7292019,1,35,Fast,10,Exposed,Por_Exp,2,B,397,1058,0.625,32.76408333,3,2.668083333,0,0
