Species,Experiment,Ramp,Temp,Treatment,Tank,Site,Geno,Rep,Sym_density,Pro_cm2,Chla_cell,Chla_cm2
Acropora,Indoor,Control,32,I32,13,Exposed,AcEx1,A,1268773.879,346.573655,2.625482035,3.331143026
Acropora,Indoor,Control,32,I32,13,Exposed,AcEx2,A,513318.9854,306.9578055,4.852477511,2.490868832
Acropora,Indoor,Control,32,I32,13,Exposed,AcEx3,A,201691.678,352.8298772,15.94148671,3.215265204
Acropora,Indoor,Control,32,I32,13,Exposed,AcEx4,A,190243.7557,270.9082016,11.04716878,2.101654877
Acropora,Indoor,Control,32,I32,13,Exposed,AcEx5,A,19619.88111,514.0228831,179.1240006,3.514391595
Acropora,Indoor,Control,32,I32,13,Protected,AcPr1,A,76385.74103,395.6264781,27.97144918,2.136619873
Acropora,Indoor,Control,32,I32,13,Protected,AcPr2,A,410199.5336,403.459527,5.277749672,2.164930454
Acropora,Indoor,Control,32,I32,13,Protected,AcPr3,A,1262488.331,343.9734693,1.914231562,2.41669501
Acropora,Indoor,Control,32,I32,13,Protected,AcPr4,A,84760.34016,382.4165443,37.53254753,3.181271496
Acropora,Indoor,Control,32,I32,13,Protected,AcPr5,A,114772.0798,324.2690408,20.10414224,2.307394217
Acropora,Indoor,Control,32,I32,14,Exposed,AcEx1,B,24568.79262,432.0161051,121.5354526,2.98597933
Acropora,Indoor,Control,32,I32,14,Exposed,AcEx2,B,90392.64706,315.1826471,28.41420479,2.568435185
Acropora,Indoor,Control,32,I32,14,Exposed,AcEx3,B,543923.4801,329.0758386,5.457022672,2.968202763
Acropora,Indoor,Control,32,I32,14,Exposed,AcEx4,B,287464.174,254.7590542,7.812963711,2.24594716
Acropora,Indoor,Control,32,I32,14,Exposed,AcEx5,B,206542.5707,335.8378797,10.3333588,2.13427849
Acropora,Indoor,Control,32,I32,14,Protected,AcPr1,B,92638.19708,399.8518868,24.74067547,2.29193157
Acropora,Indoor,Control,32,I32,14,Protected,AcPr2,B,3123.966942,288.2373843,584.7882905,1.826859288
Acropora,Indoor,Control,32,I32,14,Protected,AcPr3,B,140745.6111,343.8312998,12.9650729,1.824777108
Acropora,Indoor,Control,32,I32,14,Protected,AcPr4,B,583258.3092,298.9617823,3.815929395,2.225672527
Acropora,Indoor,Control,32,I32,14,Protected,AcPr5,B,131173.7998,283.3519762,16.03576151,2.103471769
Acropora,Indoor,Fast,33.5,F33.5,7,Exposed,AcEx1,A,279394.9468,285.2372074,7.869566417,2.19871709
Acropora,Indoor,Fast,33.5,F33.5,7,Exposed,AcEx2,A,116113.7701,227.784951,8.196883294,0.951771022
Acropora,Indoor,Fast,33.5,F33.5,7,Exposed,AcEx3,A,28818.64407,292.8307627,64.46287073,1.857732527
Acropora,Indoor,Fast,33.5,F33.5,7,Exposed,AcEx4,A,37457.22235,260.8967679,30.29475614,1.134757417
Acropora,Indoor,Fast,33.5,F33.5,7,Exposed,AcEx5,A,702575.7244,407.5644833,3.238670225,2.275411079
Acropora,Indoor,Fast,33.5,F33.5,7,Protected,AcPr1,A,173761.9226,408.1038828,5.506599506,0.956837317
Acropora,Indoor,Fast,33.5,F33.5,7,Protected,AcPr2,A,90891.1353,268.8371773,7.248823358,0.658853785
Acropora,Indoor,Fast,33.5,F33.5,7,Protected,AcPr3,A,188768.7349,321.4525759,6.133937691,1.157895658
Acropora,Indoor,Fast,33.5,F33.5,7,Protected,AcPr4,A,13628.77333,316.3267838,95.90419424,1.307056524
Acropora,Indoor,Fast,33.5,F33.5,7,Protected,AcPr5,A,84841.43458,270.7974435,20.63708257,1.750879691
Acropora,Indoor,Fast,33.5,F33.5,8,Exposed,AcEx1,B,1463101.821,734.082162,1.268226029,1.855543812
Acropora,Indoor,Fast,33.5,F33.5,8,Exposed,AcEx2,B,412335,296.1223,5.023911819,2.07153468
Acropora,Indoor,Fast,33.5,F33.5,8,Exposed,AcEx3,B,302198.5465,269.3342965,5.578305242,1.685755736
Acropora,Indoor,Fast,33.5,F33.5,8,Exposed,AcEx4,B,215606.8966,252.4628128,5.573591432,1.201704751
Acropora,Indoor,Fast,33.5,F33.5,8,Exposed,AcEx5,B,19906.02656,400.8516854,102.8751689,2.047835844
Acropora,Indoor,Fast,33.5,F33.5,8,Protected,AcPr1,B,181008.3174,291.5309899,9.168982475,1.65966209
Acropora,Indoor,Fast,33.5,F33.5,8,Protected,AcPr2,B,83942.31701,165.712254,7.331386758,0.615413591
Acropora,Indoor,Fast,33.5,F33.5,8,Protected,AcPr3,B,25610.03236,35.53340642,54.62489062,1.398945217
Acropora,Indoor,Fast,33.5,F33.5,8,Protected,AcPr4,B,44595.9507,200.1318939,36.03772242,1.607136493
Acropora,Indoor,Fast,33.5,F33.5,8,Protected,AcPr5,B,171362.1575,273.068476,13.27950151,2.275604029
Acropora,Indoor,Fast,36.5,F36.5,11,Exposed,AcEx1,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Exposed,AcEx2,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Exposed,AcEx3,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Exposed,AcEx4,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Exposed,AcEx5,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Protected,AcPr1,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Protected,AcPr2,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Protected,AcPr3,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Protected,AcPr4,A,,,,
Acropora,Indoor,Fast,36.5,F36.5,11,Protected,AcPr5,A,,,,
Acropora,Indoor,Slow,33.5,S33.5,1,Exposed,AcEx1,A,192289.7249,311.7416732,12.55609545,2.414408139
Acropora,Indoor,Slow,33.5,S33.5,1,Exposed,AcEx2,A,292069.0678,288.3595424,3.301220135,0.964184288
Acropora,Indoor,Slow,33.5,S33.5,1,Exposed,AcEx3,A,426594.7038,282.0229803,3.018971006,1.287877042
Acropora,Indoor,Slow,33.5,S33.5,1,Exposed,AcEx4,A,476403.3297,111.0736352,0.948185544,0.45171875
Acropora,Indoor,Slow,33.5,S33.5,1,Exposed,AcEx5,A,194297.0019,197.5189881,3.748788031,0.728378275
Acropora,Indoor,Slow,33.5,S33.5,1,Protected,AcPr1,A,591091.9893,305.5708666,1.106559952,0.654078724
Acropora,Indoor,Slow,33.5,S33.5,1,Protected,AcPr2,A,875158.0135,350.7422475,0.807343152,0.706552829
Acropora,Indoor,Slow,33.5,S33.5,1,Protected,AcPr3,A,403859.9119,16.19080147,1.057898011,0.427242597
Acropora,Indoor,Slow,33.5,S33.5,1,Protected,AcPr4,A,790467.1589,1019.5222,5.307143263,4.195122457
Acropora,Indoor,Slow,33.5,S33.5,1,Protected,AcPr5,A,652881.0746,171.7117147,1.996873351,1.303720819
Acropora,Indoor,Slow,35,S35,3,Exposed,AcEx1,A,283674.4396,39.14615693,6.090725267,1.727783076
Acropora,Indoor,Slow,35,S35,3,Exposed,AcEx2,A,45094.27374,14.24375279,14.51306537,0.654456142
