Temp,Species,Colony,Population,Genotype,Replicate,Tank,Fo,Fm,FvFm,AbsTemp,heat32,load32,heat33,load33,heat34,load34,heat35,load35
32,Acropora,1,Exposed,Exp1,A,32A,295,717,0.589,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,2,Exposed,Exp2,A,32A,206,505,0.592,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,3,Exposed,Exp3,A,32A,192,441,0.565,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,4,Exposed,Exp4,A,32A,406,1105,0.633,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,5,Exposed,Exp5,A,32A,316,885,0.643,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,1,Protected,Pro1,A,32A,263,728,0.639,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,2,Protected,Pro2,A,32A,224,628,0.643,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,3,Protected,Pro3,A,32A,231,698,0.669,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,4,Protected,Pro4,A,32A,349,966,0.639,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,5,Protected,Pro5,A,32A,156,354,0.559,32.06,0.06,12.03966234,0,0,0,0,0,0
32,Acropora,1,Exposed,Exp1,B,32B,643,1429,0.55,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,2,Exposed,Exp2,B,32B,292,772,0.622,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,3,Exposed,Exp3,B,32B,564,1411,0.6,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,4,Exposed,Exp4,B,32B,194,476,0.592,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,5,Exposed,Exp5,B,32B,247,685,0.639,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,1,Protected,Pro1,B,32B,458,1115,0.589,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,2,Protected,Pro2,B,32B,319,845,0.622,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,3,Protected,Pro3,B,32B,264,711,0.629,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,4,Protected,Pro4,B,32B,232,662,0.65,31.94,0,11.69554545,0,0,0,0,0,0
32,Acropora,5,Protected,Pro5,B,32B,206,448,0.54,31.94,0,11.69554545,0,0,0,0,0,0
35,Acropora,1,Exposed,Exp1,A,35A,235,616,0.619,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,2,Exposed,Exp2,A,35A,102,244,0.582,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,3,Exposed,Exp3,A,35A,238,644,0.63,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,4,Exposed,Exp4,A,35A,299,760,0.607,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,5,Exposed,Exp5,A,35A,117,263,0.555,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,1,Protected,Pro1,A,35A,89,222,0.599,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,2,Protected,Pro2,A,35A,252,610,0.587,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,3,Protected,Pro3,A,35A,194,520,0.627,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,4,Protected,Pro4,A,35A,159,421,0.622,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,5,Protected,Pro5,A,35A,140,316,0.557,34.97818182,2.978181818,810.3722338,1.978181818,480.412,0.978181818,211.2962727,0,5.528363636
35,Acropora,1,Exposed,Exp1,B,35B,516,1364,0.622,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,2,Exposed,Exp2,B,35B,263,672,0.609,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,3,Exposed,Exp3,B,35B,159,391,0.593,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,4,Exposed,Exp4,B,35B,104,252,0.587,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,5,Exposed,Exp5,B,35B,157,420,0.626,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,1,Protected,Pro1,B,35B,289,731,0.605,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,2,Protected,Pro2,B,35B,340,966,0.648,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,3,Protected,Pro3,B,35B,125,340,0.632,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,4,Protected,Pro4,B,35B,350,920,0.62,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
35,Acropora,5,Protected,Pro5,B,35B,218,532,0.59,34.96181818,2.961818182,810.4797013,1.961818182,480.4150909,0.961818182,211.8605455,0,5.706363636
36.5,Acropora,1,Exposed,Exp1,A,36.5A,259,513,0.495,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,2,Exposed,Exp2,A,36.5A,123,306,0.598,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,3,Exposed,Exp3,A,36.5A,203,443,0.542,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,4,Exposed,Exp4,A,36.5A,116,256,0.547,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,5,Exposed,Exp5,A,36.5A,214,542,0.605,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,1,Protected,Pro1,A,36.5A,187,437,0.572,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,2,Protected,Pro2,A,36.5A,224,568,0.606,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,3,Protected,Pro3,A,36.5A,149,361,0.587,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,4,Protected,Pro4,A,36.5A,161,371,0.566,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,5,Protected,Pro5,A,36.5A,102,184,0.446,36.44,4.44,1209.409774,3.44,868.9421288,2.44,569.7780141,1.44,310.9538063
36.5,Acropora,1,Exposed,Exp1,B,36.5B,243,550,0.558,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,2,Exposed,Exp2,B,36.5B,227,465,0.512,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,3,Exposed,Exp3,B,36.5B,174,342,0.491,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,4,Exposed,Exp4,B,36.5B,117,276,0.576,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,5,Exposed,Exp5,B,36.5B,369,948,0.611,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,1,Protected,Pro1,B,36.5B,152,315,0.517,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,2,Protected,Pro2,B,36.5B,106,242,0.562,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,3,Protected,Pro3,B,36.5B,304,647,0.53,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,4,Protected,Pro4,B,36.5B,119,275,0.567,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
36.5,Acropora,5,Protected,Pro5,B,36.5B,145,278,0.478,36.5,4.5,1211.326881,3.5,870.1217298,2.5,570.7660588,1.5,312.3768402
38,Acropora,1,Exposed,Exp1,A,38A,207,393,0.473,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,2,Exposed,Exp2,A,38A,178,328,0.457,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,3,Exposed,Exp3,A,38A,111,216,0.486,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,4,Exposed,Exp4,A,38A,108,203,0.468,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,5,Exposed,Exp5,A,38A,127,213,0.404,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,1,Protected,Pro1,A,38A,95,178,0.466,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,2,Protected,Pro2,A,38A,127,247,0.486,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,3,Protected,Pro3,A,38A,81,149,0.456,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,4,Protected,Pro4,A,38A,14,27,,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,5,Protected,Pro5,A,38A,115,143,0.196,38.03818182,6.038181818,1588.019762,5.038181818,1245.541788,4.038181818,934.713026,3.038181818,654.3566093
38,Acropora,1,Exposed,Exp1,B,38B,115,245,0.531,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,2,Exposed,Exp2,B,38B,41,64,0.359,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,3,Exposed,Exp3,B,38B,60,77,0.221,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,4,Exposed,Exp4,B,38B,123,177,0.305,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,5,Exposed,Exp5,B,38B,15,25,,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,1,Protected,Pro1,B,38B,24,37,,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,2,Protected,Pro2,B,38B,30,47,,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,3,Protected,Pro3,B,38B,29,40,,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,4,Protected,Pro4,B,38B,22,36,,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
38,Acropora,5,Protected,Pro5,B,38B,38,53,0.283,38.00545455,6.005454545,1594.670163,5.005454545,1249.918254,4.005454545,938.8306811,3.005454545,658.1324538
