Date,Experiment,Species,Day,Ramp-point,Timepoint,Temp,Incubation_temp,Ramp,Tank,Site,Geno,NetPS,Resp
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Exposed,AcEx1,0.285253518,-0.362154208
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Exposed,AcEx2,0.295376742,-0.311771477
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Exposed,AcEx3,0.354775946,-0.214319112
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Exposed,AcEx4,0.30670241,-0.389614494
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Exposed,AcEx5,0.255989779,-0.404046358
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Protected,AcPr1,0.152340985,-0.286551146
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Protected,AcPr2,0.28273569,-0.347404818
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Protected,AcPr3,0.147122466,-0.301887225
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Protected,AcPr4,0.195183491,-0.225672571
7292019,Indoor,Acropora,1,T0,T0,32,32,Control,13,Protected,AcPr5,0.335734423,-0.335012376
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,AcEx1,0.038241127,-0.255764025
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,AcEx2,0.278908786,-0.53069359
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,AcEx3,0.164742655,-0.336327185
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,AcEx4,0.185482638,-0.298395449
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,AcEx5,0.381795531,-0.379619668
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,AcPr1,0.199857053,-0.324707748
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,AcPr2,0.070632464,-0.347885232
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,AcPr3,0.191351764,-0.305893616
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,AcPr4,0.214201751,-0.367886795
7302019,Indoor,Acropora,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,AcPr5,0.125717289,-0.272101333
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,AcEx1,0.156433153,-0.37985025
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,AcEx2,0.225517251,-0.844661046
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,AcEx3,0.234509083,-0.167358565
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,AcEx4,0.067958091,-0.281117181
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,AcEx5,0.178719645,-0.571019648
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Protected,AcPr2,0.114720255,-0.37004518
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Protected,AcPr3,0.201758435,-0.347868437
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Protected,AcPr4,0.156274965,-0.412967227
7312019,Indoor,Acropora,3,T2-Fast,T2,36.5,35,Fast,11,Protected,AcPr5,0.312559912,-0.532920904
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Exposed,AcEx1,-0.169695946,-0.196185088
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Exposed,AcEx2,-0.189406957,-0.259398148
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Exposed,AcEx3,-0.104107603,-0.145861561
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Exposed,AcEx4,-0.21760149,-0.313113839
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Exposed,AcEx5,-0.219511358,-0.318280617
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Protected,AcPr1,-0.322512859,-0.331237102
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Protected,AcPr2,-0.148365839,-0.214210604
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Protected,AcPr3,-0.34355497,-0.340719424
8012019,Indoor,Acropora,4,T3-Fast,T3,36.5,36.5,Fast,11,Protected,AcPr4,-0.212287038,-0.211593921
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,AcEx1,0.308711384,-0.325042385
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,AcEx2,0.406315545,-0.474119876
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,AcEx3,0.191688116,-0.229730908
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,AcEx4,0.21843961,-0.472790599
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,AcEx5,0.38464295,-0.288857921
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,AcPr1,0.138590928,-0.270139542
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,AcPr2,0.182171056,-0.368594251
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,AcPr4,0.367195529,-0.40651808
8012019,Indoor,Acropora,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,AcPr5,0.085112891,-0.227540168
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Exposed,AcEx1,0.024972234,-0.242504197
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Exposed,AcEx2,0.182930524,-0.330083073
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Exposed,AcEx3,0.260157746,-0.22745994
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Exposed,AcEx4,0.148133939,-0.256943651
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Protected,AcPr1,0.030042379,-0.28798529
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Protected,AcPr2,0.065635398,-0.325785546
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Protected,AcPr3,-0.083176077,-0.270705948
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Protected,AcPr4,-0.073632503,-0.29583886
8042019,Indoor,Acropora,7,T2-Slow,T2,35,35,Slow,3,Protected,AcPr5,-0.053054062,-0.309344385
7292019,Indoor,Porites,1,T0,T0,32,32,Control,13,Exposed,PoEx2,0.294263991,-0.404085438
7292019,Indoor,Porites,1,T0,T0,32,32,Control,13,Exposed,PoEx5,0.680550989,-0.592699452
7292019,Indoor,Porites,1,T0,T0,32,32,Control,13,Protected,PoPr2,0.135855464,-0.625956725
7292019,Indoor,Porites,1,T0,T0,32,32,Control,13,Protected,PoPr3,0.608716785,-1.392078548
7302019,Indoor,Porites,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,PoEx1,0.18188786,-0.681934214
7302019,Indoor,Porites,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,PoEx3,0.254705553,-0.77808779
7302019,Indoor,Porites,2,T1-Fast,T1,36.5,33.5,Fast,11,Exposed,PoEx5,1.319031268,-1.064189066
7302019,Indoor,Porites,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,PoPr1,0.250074246,-0.886166294
7302019,Indoor,Porites,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,PoPr3,0.304728851,-0.330238303
7302019,Indoor,Porites,2,T1-Fast,T1,36.5,33.5,Fast,11,Protected,PoPr4,0.311973897,-0.565596007
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,PoEx1,-0.314008283,-0.773699185
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,PoEx2,0.93132342,-1.167149425
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,PoEx3,-0.121110349,-0.731802564
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,PoEx4,-0.076775945,-0.852222184
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Exposed,PoEx5,0.557016264,-0.690098519
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Protected,PoPr1,0.30032707,-0.655706293
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Protected,PoPr2,0.034315245,-1.46921672
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Protected,PoPr4,0.018084682,-0.508163389
7312019,Indoor,Porites,3,T2-Fast,T2,36.5,35,Fast,11,Protected,PoPr5,-0.062961633,-0.40797681
8012019,Indoor,Porites,4,T3-Fast,T3,36.5,36.5,Fast,11,Exposed,PoEx1,-0.42773425,-0.586518823
